timestamp,channel,log_listener,text,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 20:37:30,notify,0wnda,Please wait...,[ 2026.01.15 20:37:30 ] (notify) Please wait...,12,20260115_202340_94865292.txt
2026.01.15 20:49:56,notify,0wnda,"The Interdiction Sphere Launcher I cannot be manually deactivated in the middle of an operation, it will deactivate without repeating in 4 seconds (its activation duration is 5 seconds).","[ 2026.01.15 20:49:56 ] (notify) The Interdiction Sphere Launcher I cannot be manually deactivated in the middle of an operation, it will deactivate without repeating in 4 seconds (its activation duration is 5 seconds).",14,20260115_202340_94865292.txt
2026.01.15 21:02:08,notify,0wnda,You cannot warp while you are cloaked.,[ 2026.01.15 21:02:08 ] (notify) You cannot warp while you are cloaked.,16,20260115_202340_94865292.txt
2026.01.15 21:03:01,notify,0wnda,"The Interdiction Sphere Launcher I cannot be manually deactivated in the middle of an operation, it will deactivate without repeating in 4 seconds (its activation duration is 5 seconds).","[ 2026.01.15 21:03:01 ] (notify) The Interdiction Sphere Launcher I cannot be manually deactivated in the middle of an operation, it will deactivate without repeating in 4 seconds (its activation duration is 5 seconds).",19,20260115_202340_94865292.txt
2026.01.15 21:03:06,notify,0wnda,Loading the Interdiction Probe into the Interdiction Sphere Launcher; this will take approximately 60 seconds.,[ 2026.01.15 21:03:06 ] (notify) Loading the Interdiction Probe into the Interdiction Sphere Launcher; this will take approximately 60 seconds.,20,20260115_202340_94865292.txt
2026.01.15 21:15:34,notify,0wnda,Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,[ 2026.01.15 21:15:34 ] (notify) Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,22,20260115_202340_94865292.txt
2026.01.15 21:15:34,notify,0wnda,Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,[ 2026.01.15 21:15:34 ] (notify) Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,23,20260115_202340_94865292.txt
2026.01.15 21:29:19,notify,0wnda,You cannot do that while warping.,[ 2026.01.15 21:29:19 ] (notify) You cannot do that while warping.,25,20260115_202340_94865292.txt
2026.01.15 21:29:21,hint,0wnda,5MN Y-T8 Compact Microwarpdrive is already active,[ 2026.01.15 21:29:21 ] (hint) 5MN Y-T8 Compact Microwarpdrive is already active,26,20260115_202340_94865292.txt
2026.01.15 21:29:25,notify,0wnda,Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,[ 2026.01.15 21:29:25 ] (notify) Your cloaking systems are unable to activate due to your ship being within 2000 meters of the nearby Dreadnought.,27,20260115_202340_94865292.txt
2026.01.15 21:29:27,notify,0wnda,Loading the Interdiction Probe into the Interdiction Sphere Launcher; this will take approximately 60 seconds.,[ 2026.01.15 21:29:27 ] (notify) Loading the Interdiction Probe into the Interdiction Sphere Launcher; this will take approximately 60 seconds.,28,20260115_202340_94865292.txt
